,Unnamed: 0,kernel,C,gamma,accuracy,comp time
24,24,gaussian,10.0,0.01,93.74588545095456,28.326210975646973
30,30,gaussian,100.0,0.01,93.21922317314022,36.07947826385498
18,18,gaussian,1.0,0.01,92.89005924950624,25.536603212356567
140,140,linear,100.0,0.5,92.3633969716919,49.87608528137207
150,150,linear,10000.0,0.01,92.2975641869651,51.12293767929077
154,154,linear,10000.0,10.0,92.2975641869651,63.86605143547058
141,141,linear,100.0,1.0,92.2975641869651,49.73772931098938
143,143,linear,100.0,100.0,92.2975641869651,57.97772932052612
148,148,linear,1000.0,10.0,92.2975641869651,59.68698859214783
149,149,linear,1000.0,100.0,92.2975641869651,62.66216468811035
136,136,linear,10.0,10.0,92.2975641869651,46.85888051986694
153,153,linear,10000.0,1.0,92.2975641869651,62.747403621673584
155,155,linear,10000.0,100.0,92.2975641869651,73.52851605415344
131,131,linear,1.0,100.0,92.2975641869651,42.427414894104
157,157,linear,100000.0,0.1,92.2975641869651,65.01624417304993
158,158,linear,100000.0,0.5,92.2975641869651,64.16786813735962
159,159,linear,100000.0,1.0,92.2975641869651,63.78493022918701
160,160,linear,100000.0,10.0,92.2975641869651,68.03048801422119
145,145,linear,1000.0,0.1,92.2975641869651,51.73923182487488
161,161,linear,100000.0,100.0,92.23173140223832,71.20929789543152
167,167,sigmoid,100.0,0.0003244646333549,92.23173140223832,31.71005249023437
25,25,gaussian,10.0,0.1,92.23173140223832,28.779916048049927
152,152,linear,10000.0,0.5,92.16589861751152,62.83348178863525
119,119,linear,0.01,100.0,92.10006583278472,36.34716391563416
132,132,linear,10.0,0.01,92.10006583278472,31.19189953804016
133,133,linear,10.0,0.1,92.10006583278472,37.41353678703308
138,138,linear,100.0,0.01,92.10006583278472,36.38195180892944
118,118,linear,0.01,10.0,92.10006583278472,29.434847116470337
129,129,linear,1.0,1.0,92.10006583278472,33.91416144371033
127,127,linear,1.0,0.1,92.10006583278472,28.10895013809204
137,137,linear,10.0,100.0,92.10006583278472,50.94566774368286
124,124,linear,0.1,10.0,92.10006583278472,35.32608938217163
142,142,linear,100.0,10.0,92.10006583278472,54.03711104393005
146,146,linear,1000.0,0.5,92.10006583278472,55.42683672904968
156,156,linear,100000.0,0.01,92.10006583278472,59.40290093421936
147,147,linear,1000.0,1.0,92.10006583278472,56.51887536048889
151,151,linear,10000.0,0.1,92.10006583278472,58.444313049316406
123,123,linear,0.1,1.0,92.10006583278472,29.56853747367859
113,113,linear,0.001,100.0,92.10006583278472,31.106187105178837
128,128,linear,1.0,0.5,92.03423304805791,34.047451972961426
19,19,gaussian,1.0,0.1,91.96840026333112,31.06673002243042
122,122,linear,0.1,0.5,91.90256747860434,31.21878147125244
134,134,linear,10.0,0.5,91.83673469387756,45.44230937957764
168,168,sigmoid,1000.0,0.0003244646333549,91.83673469387756,38.50934886932373
135,135,linear,10.0,1.0,91.77090190915077,42.4430890083313
144,144,linear,1000.0,0.01,91.77090190915077,45.19165849685669
139,139,linear,100.0,0.1,91.77090190915077,45.55899691581726
125,125,linear,0.1,100.0,91.77090190915077,39.72877240180969
130,130,linear,1.0,10.0,91.77090190915077,40.97915577888489
126,126,linear,1.0,0.01,91.57340355497035,29.707744598388672
121,121,linear,0.1,0.1,91.57340355497035,31.649046897888184
117,117,linear,0.01,1.0,91.57340355497035,29.53523111343384
112,112,linear,0.001,10.0,91.57340355497035,31.199967861175537
36,36,gaussian,1000.0,0.01,91.50757077024356,36.66290593147278
116,116,linear,0.01,0.5,91.3100724160632,32.44940495491028
169,169,sigmoid,10000.0,0.0003244646333549,91.1784068466096,22.533751726150516
166,166,sigmoid,10.0,0.0003244646333549,90.98090849242924,28.602362155914307
31,31,gaussian,100.0,0.1,90.98090849242924,35.815337896347046
42,42,gaussian,10000.0,0.01,90.84924292297563,41.0775887966156
73,73,polynomial,1.0,0.1,90.58591178406849,31.133288860321045
63,63,polynomial,0.01,1.0,90.58591178406849,34.26613521575928
84,84,polynomial,100.0,0.01,90.58591178406849,32.600640535354614
68,68,polynomial,0.1,0.5,90.3225806451613,31.18333458900452
170,170,sigmoid,100000.0,0.0003244646333549,89.59842001316656,22.605292320251465
62,62,polynomial,0.01,0.5,89.53258722843977,35.51450800895691
90,90,polynomial,1000.0,0.01,89.26925608953259,35.49786758422852
58,58,polynomial,0.001,10.0,89.26925608953259,36.932334661483765
69,69,polynomial,0.1,1.0,89.26925608953259,35.697490215301514
79,79,polynomial,10.0,0.1,89.26925608953259,32.582775831222534
48,48,gaussian,100000.0,0.01,88.80842659644503,49.70687651634216
80,80,polynomial,10.0,0.5,88.67676102699144,33.966397523880005
96,96,polynomial,10000.0,0.01,88.15009874917709,39.813316106796265
75,75,polynomial,1.0,1.0,88.15009874917709,36.547781229019165
85,85,polynomial,100.0,0.1,88.15009874917709,35.04904913902283
64,64,polynomial,0.01,10.0,88.15009874917709,36.864773750305176
102,102,polynomial,100000.0,0.01,88.0842659644503,45.67547535896301
70,70,polynomial,0.1,10.0,88.0842659644503,41.01237344741821
91,91,polynomial,1000.0,0.1,88.0842659644503,41.20038199424744
74,74,polynomial,1.0,0.5,88.0842659644503,33.84956073760986
81,81,polynomial,10.0,1.0,88.0842659644503,36.729419469833374
59,59,polynomial,0.001,100.0,88.0842659644503,43.15552401542664
37,37,gaussian,1000.0,0.1,88.0184331797235,38.4296395778656
43,43,gaussian,10000.0,0.1,87.75510204081633,41.26320672035217
86,86,polynomial,100.0,0.5,87.68926925608953,38.34527540206909
49,49,gaussian,100000.0,0.1,87.55760368663594,49.48461365699768
97,97,polynomial,10000.0,0.1,87.29427254772877,43.86234974861145
87,87,polynomial,100.0,1.0,87.29427254772877,39.81399846076965
76,76,polynomial,1.0,10.0,87.29427254772877,48.24285531044006
65,65,polynomial,0.01,100.0,87.29427254772877,50.0100634098053
92,92,polynomial,1000.0,0.5,86.9651086240948,42.55985736846924
71,71,polynomial,0.1,100.0,86.30678077682686,51.0877091884613
82,82,polynomial,10.0,10.0,86.30678077682686,41.15946888923645
103,103,polynomial,100000.0,0.1,86.30678077682686,48.27326512336731
93,93,polynomial,1000.0,1.0,86.30678077682686,43.8837354183197
88,88,polynomial,100.0,10.0,85.8459512837393,41.06983232498169
77,77,polynomial,1.0,100.0,85.8459512837393,56.70438814163208
99,99,polynomial,10000.0,1.0,85.8459512837393,45.30978441238403
105,105,polynomial,100000.0,1.0,85.64845292955891,48.258747816085815
94,94,polynomial,1000.0,10.0,85.64845292955891,45.42572355270386
83,83,polynomial,10.0,100.0,85.64845292955891,55.510906457901
98,98,polynomial,10000.0,0.5,85.58262014483212,45.978880167007446
100,100,polynomial,10000.0,10.0,85.58262014483212,49.77456855773926
89,89,polynomial,100.0,100.0,85.58262014483212,61.42226147651672
104,104,polynomial,100000.0,0.5,85.45095457537853,49.62368583679199
106,106,polynomial,100000.0,10.0,85.12179065174458,76.60966181755066
95,95,polynomial,1000.0,100.0,85.12179065174458,51.040457010269165
101,101,polynomial,10000.0,100.0,84.99012508229099,72.44484829902649
107,107,polynomial,100000.0,100.0,84.72679394338381,113.74729490280151
26,26,gaussian,10.0,0.5,83.27847267939434,30.56716799736023
32,32,gaussian,100.0,0.5,82.48847926267281,35.936761140823364
38,38,gaussian,1000.0,0.5,82.48847926267281,36.70225381851196
50,50,gaussian,100000.0,0.5,82.35681369321922,41.52874970436096
44,44,gaussian,10000.0,0.5,81.96181698485846,39.82880425453186
67,67,polynomial,0.1,0.1,81.76431863067808,32.533546686172485
57,57,polynomial,0.001,1.0,81.76431863067808,34.18083572387695
78,78,polynomial,10.0,0.01,81.76431863067808,26.80251669883728
111,111,linear,0.001,1.0,81.69848584595128,28.41916346549988
120,120,linear,0.1,0.01,81.23765635286372,31.025357723236084
115,115,linear,0.01,0.1,81.23765635286372,28.09025526046753
12,12,gaussian,0.1,0.01,80.77682685977616,22.65536093711853
27,27,gaussian,10.0,1.0,79.92100065832784,28.104427814483643
33,33,gaussian,100.0,1.0,79.78933508887425,30.611088752746586
45,45,gaussian,10000.0,1.0,79.65766951942066,40.87913632392883
51,51,gaussian,100000.0,1.0,79.59183673469387,39.44107818603516
39,39,gaussian,1000.0,1.0,79.52600394996708,36.64808106422424
28,28,gaussian,10.0,10.0,75.90520078999342,50.60261917114258
34,34,gaussian,100.0,10.0,75.51020408163265,58.13678312301636
40,40,gaussian,1000.0,10.0,75.51020408163265,58.49463081359863
52,52,gaussian,100000.0,10.0,75.31270572745227,67.2975766658783
46,46,gaussian,10000.0,10.0,75.24687294272547,62.78331518173218
35,35,gaussian,100.0,100.0,73.66688610928242,29.091374158859253
41,41,gaussian,1000.0,100.0,73.33772218564846,29.9144823551178
47,47,gaussian,10000.0,100.0,72.8768926925609,37.47995090484619
53,53,gaussian,100000.0,100.0,72.8768926925609,41.22652244567871
20,20,gaussian,1.0,0.5,70.04608294930875,24.10172176361084
110,110,linear,0.001,0.5,65.43778801843318,25.620547771453857
21,21,gaussian,1.0,1.0,61.9486504279131,26.08700966835022
165,165,sigmoid,1.0,0.0003244646333549,53.52205398288348,19.65821099281311
56,56,polynomial,0.001,0.5,50.88874259381172,38.3623423576355
22,22,gaussian,1.0,10.0,48.25543120473996,47.541417360305786
23,23,gaussian,1.0,100.0,48.05793285055958,23.205148458480835
29,29,gaussian,10.0,100.0,47.59710335747202,25.020994424819943
72,72,polynomial,1.0,0.01,44.89795918367347,26.720101833343502
61,61,polynomial,0.01,0.1,44.89795918367347,31.45684838294983
13,13,gaussian,0.1,0.1,42.65964450296247,32.62944221496582
55,55,polynomial,0.001,0.1,39.1705069124424,32.05488181114197
66,66,polynomial,0.1,0.01,39.1705069124424,28.36807608604431
114,114,linear,0.01,0.01,38.38051349572087,22.572221755981445
109,109,linear,0.001,0.1,38.38051349572087,22.45306134223938
163,163,sigmoid,0.01,0.0003244646333549,37.985516787360105,27.00122094154358
54,54,polynomial,0.001,0.01,37.985516787360105,35.7813241481781
6,6,gaussian,0.01,0.01,37.985516787360105,25.434491634368896
4,4,gaussian,0.001,10.0,37.985516787360105,50.356510639190674
164,164,sigmoid,0.1,0.0003244646333549,37.985516787360105,21.4580717086792
5,5,gaussian,0.001,100.0,37.985516787360105,25.968746662139893
8,8,gaussian,0.01,0.5,37.985516787360105,29.71751356124878
3,3,gaussian,0.001,1.0,37.985516787360105,29.066774368286133
2,2,gaussian,0.001,0.5,37.985516787360105,27.302149534225464
7,7,gaussian,0.01,0.1,37.985516787360105,32.60773515701294
9,9,gaussian,0.01,1.0,37.985516787360105,28.9697368144989
162,162,sigmoid,0.001,0.0003244646333549,37.985516787360105,25.4540376663208
10,10,gaussian,0.01,10.0,37.985516787360105,50.4242115020752
11,11,gaussian,0.01,100.0,37.985516787360105,24.4808611869812
14,14,gaussian,0.1,0.5,37.985516787360105,27.893934965133667
15,15,gaussian,0.1,1.0,37.985516787360105,26.185945510864254
16,16,gaussian,0.1,10.0,37.985516787360105,48.10779547691345
17,17,gaussian,0.1,100.0,37.985516787360105,26.11839461326599
60,60,polynomial,0.01,0.01,37.985516787360105,30.001757621765137
108,108,linear,0.001,0.01,37.985516787360105,25.72654604911804
1,1,gaussian,0.001,0.1,37.985516787360105,28.45080542564392
0,0,gaussian,0.001,0.01,37.985516787360105,28.579797744750977
